YearMonth,No of Visitors
Oct-1999,397000
Nov-1999,416700
Dec-1999,460800
Jan-2000,360800
Feb-2000,434600
Mar-2000,411900
Apr-2000,405600
May-2000,319300
Jun-2000,347900
Jul-2000,429000
Aug-2000,372900
Sep-2000,403000
Oct-2000,426500
Nov-2000,459900
Dec-2000,559900
Jan-2001,416600
Feb-2001,429200
Mar-2001,428700
Apr-2001,405400
May-2001,330200
Jun-2001,370000
Jul-2001,446900
Aug-2001,384600
Sep-2001,366300
Oct-2001,378500
Nov-2001,376200
Dec-2001,523200
Jan-2002,379300
Feb-2002,437200
Mar-2002,446500
Apr-2002,360300
May-2002,329900
Jun-2002,339400
Jul-2002,418200
Aug-2002,371900
Sep-2002,358600
Oct-2002,428900
Nov-2002,437000
Dec-2002,534000
Jan-2003,396600
Feb-2003,427500
Mar-2003,392500
Apr-2003,321500
May-2003,260900
Jun-2003,308300
Jul-2003,415500
Aug-2003,362200
Sep-2003,385600
Oct-2003,435300
Nov-2003,473300
Dec-2003,566600
Jan-2004,420200
Feb-2004,454800
Mar-2004,432300
Apr-2004,402800
May-2004,341300
Jun-2004,367300
Jul-2004,467600
Aug-2004,403100
Sep-2004,393500
Oct-2004,447400
Nov-2004,478000
Dec-2004,591400
Jan-2005,456900
Feb-2005,498800
Mar-2005,502100
Apr-2005,406600
May-2005,351300
Jun-2005,377000
Jul-2005,497000
Aug-2005,429300
Sep-2005,412100
Oct-2005,461900
Nov-2005,470700
Dec-2005,599300
Jan-2006,461400
Feb-2006,485000
Mar-2006,473400
Apr-2006,435000
May-2006,342900
Jun-2006,379700
Jul-2006,478200
Aug-2006,410200
Sep-2006,423500
Oct-2006,472900
Nov-2006,490000
Dec-2006,640900
Jan-2007,451000
Feb-2007,510200
Mar-2007,520000
Apr-2007,434900
May-2007,364700
Jun-2007,398000
Jul-2007,479600
Aug-2007,432500
Sep-2007,431500
Oct-2007,460900
Nov-2007,494400
Dec-2007,611100
Jan-2008,436300
Feb-2008,535700
Mar-2008,507700
Apr-2008,419100
May-2008,376200
Jun-2008,377300
Jul-2008,523800
Aug-2008,413800
Sep-2008,397200
Oct-2008,450200
Nov-2008,468400
Dec-2008,606700
Jan-2009,446100
Feb-2009,495500
Mar-2009,481900
Apr-2009,448700
May-2009,368800
Jun-2009,357600
Jul-2009,452500
Aug-2009,408300
Sep-2009,432300
Oct-2009,477700
Nov-2009,478500
Dec-2009,642300
Jan-2010,441100
Feb-2010,549000
Mar-2010,520900
Apr-2010,422600
May-2010,370300
Jun-2010,398700
Jul-2010,505300
Aug-2010,446100
Sep-2010,468800
Oct-2010,486200
Nov-2010,510500
Dec-2010,670600
Jan-2011,464700
Feb-2011,547600
Mar-2011,492900
Apr-2011,454600
May-2011,378200
Jun-2011,382900
Jul-2011,495800
Aug-2011,460800
Sep-2011,424700
Oct-2011,489400
Nov-2011,512400
Dec-2011,666800
Jan-2012,486600
Feb-2012,544400
Mar-2012,535500
Apr-2012,456600
May-2012,386900
Jun-2012,412100
Jul-2012,489900
Aug-2012,488700
Sep-2012,465300
Oct-2012,504800
Nov-2012,548300
Dec-2012,713100
Jan-2013,474700
Feb-2013,596000
Mar-2013,580600
Apr-2013,451800
May-2013,406100
Jun-2013,442500
Jul-2013,523600
Aug-2013,523500
Sep-2013,488300
Oct-2013,534700
Nov-2013,575300
Dec-2013,785200
Jan-2014,551800
Feb-2014,631200
Mar-2014,595800
Apr-2014,526400
May-2014,470100
Jun-2014,455000
Jul-2014,586800
Aug-2014,538800
Sep-2014,517500
Oct-2014,588100
Nov-2014,610400
Dec-2014,812200
Jan-2015,549900
Feb-2015,723700
Mar-2015,676300
Apr-2015,552400
May-2015,486700
Jun-2015,489000
Jul-2015,627500
Aug-2015,574100
Sep-2015,571900
Oct-2015,625200
Nov-2015,669000
Dec-2015,898700
Jan-2016,620500
Feb-2016,796800
Mar-2016,754600
Apr-2016,610800
May-2016,542000
Jun-2016,555800
Jul-2016,716000
Aug-2016,632600
Sep-2016,647200
Oct-2016,694300
Nov-2016,720500
Dec-2016,971800
