Z,road_length,road_count,restaurant_count,veg_count,lng,lat
0,0,0,0,0,120.92,31.10419464
335,2520.880932,7,0,0,120.921,31.02304009
311,3311.709689,23,1,0,120.921,31.03205732
114,3805.634289,33,23,0,120.921,31.04107453
211,1029.41758,3,0,0,120.921,31.05009173
185,120.2957202,3,0,0,120.921,31.05910892
127,0,0,0,0,120.922,31.01402285
75,0,0,0,0,120.929,31.140432
0,0,0,0,0,120.93,31.08632906
197,1627.517825,8,5,0,120.93,31.12239774
75,633.7461719,3,1,0,120.93,31.13141488
0,0,0,0,0,120.93,31.09534625
0,0,0,0,0,120.93,31.10436343
1,272.0890442,1,1,0,120.93,31.11338059
169,1022.367241,1,0,0,120.931,31.0412429
2907,154.2634914,4,0,0,120.931,31.06829464
8582,47.4388948,2,0,0,120.931,31.07731185
35,699.2758616,3,0,0,120.931,31.05026016
189,2037.789246,9,0,0,120.931,31.0592774
19,1825.994343,8,0,0,120.932,31.02320834
222,0,0,0,0,120.932,31.03222562
127,0,0,0,0,120.932,31.01419104
0,0,0,0,0,120.94,31.14060017
0,741.8500927,5,2,0,120.94,31.1225658
0,0,0,0,0,120.94,31.13158299
0,488.6563912,1,0,0,120.94,31.11354859
147,1977.466322,8,2,0,120.941,31.06846233
268,510.8517616,6,0,0,120.941,31.07747961
93,0,0,0,0,120.941,31.08649688
0,0,0,0,0,120.941,31.09551413
0,0,0,0,0,120.941,31.10453136
304,843.7695206,1,0,0,120.942,31.02337574
85,0,0,0,0,120.942,31.03239309
188,124.173885,1,0,0,120.942,31.04141042
218,248.6735075,1,0,0,120.942,31.05042774
117,1865.615146,11,3,0,120.942,31.05944504
0,0,0,0,0,120.943,31.01435838
0,0,0,0,0,120.95,31.14076749
0,0,0,0,0,120.95,31.13175025
127,95.13450661,3,0,0,120.951,31.08666384
0,0,0,0,0,120.951,31.122733
85,0,0,0,0,120.951,31.09568115
0,0,0,0,0,120.951,31.10469845
0,0,0,0,0,120.951,31.11371573
186,0,0,0,0,120.952,31.04157709
115,1842.766183,9,0,0,120.952,31.06862918
80,2512.468782,18,0,0,120.952,31.07764652
146,1882.227234,6,1,0,120.952,31.05059447
260,201.8965207,1,0,0,120.952,31.05961183
217,0,0,0,0,120.953,31.02354229
136,0,0,0,0,120.953,31.0325597
0,0,0,0,0,120.961,31.14093396
0,0,0,0,0,120.961,31.11388202
0,0,0,0,0,120.961,31.12289935
0,0,0,0,0,120.961,31.13191666
93,5635.414559,49,6,0,120.962,31.06879518
230,4004.294602,37,3,0,120.962,31.07781257
220,2124.883963,8,1,0,120.962,31.08682996
85,0,0,0,0,120.962,31.09584733
0,0,0,0,0,120.962,31.10486468
217,745.3616149,2,0,0,120.963,31.02370799
93,877.1342775,6,0,0,120.963,31.03272546
225,1285.664855,6,0,0,120.963,31.04174291
0,0,0,0,0,120.963,31.01469052
173,925.5202442,3,0,0,120.963,31.05076035
220,1775.241761,6,1,0,120.963,31.05977777
0,0,0,0,0,120.971,31.13208222
253,2203.046172,23,0,0,120.972,31.08699522
0,0,0,0,0,120.972,31.11404746
0,0,0,0,0,120.972,31.12306485
245,154.2576004,1,1,0,120.972,31.09601265
43,0,0,0,0,120.972,31.10503006
