城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,江宁 ,将军大道 ,托乐嘉吉邻居             ,306,30127,2009,塔楼/板楼        ,2.48,南京万科物业管理有限公司              ,南京筑诚置业发展有限公司               ,9,736,118.7912953,31.95629823,10.0
南京,鼓楼 ,华侨路  ,华侨路26号             ,9,,1992,板楼           ,1,街道办事处（委员会）代管物业            ,鼓楼区房产开发公司                  ,7,242,118.7881879,32.05269103,27.0
南京,栖霞 ,迈皋桥  ,星叶瑜憬湾              ,132,33846,2007,板楼           ,1.9,南京栖霞建设集团物业有限公司            ,南京栖霞建设股份有限公司               ,22,1974,118.8316622,32.10975646,12.0
南京,玄武 ,北京东路 ,北京东路57号            ,4,,1988,板楼           ,0.5,江苏银刃物业管理有限公司              ,先棉祠街65号小区投资有限公司            ,4,123,118.8075365,32.06403492,31.0
南京,江宁 ,百家湖  ,瑞鸿名邸               ,289,31261,2012,塔楼           ,1.7,南京景枫物业管理有限公司              ,南京景山置业有限公司                 ,3,504,118.8343899,31.93500646,7.0
南京,栖霞 ,仙林   ,依云溪谷三期             ,36,38592,2008,板楼           ,2.5,南京招商局物业管理有限公司             ,招商局地产（南京）有限公司              ,33,75,118.9293337,32.0929966,11.0
南京,浦口 ,江浦街道 ,风华府                ,17,32412,1998,板楼           ,1.5,上海金地物业服务有限公司南京分公司         ,金地集团南京置业发展有限公司             ,17,542,118.640475 ,32.052465999999995,21.0
南京,秦淮 ,大光路  ,御道街115号            ,7,,1985,板楼           ,1,南京新中海物业管理有限责任公司           ,玄武区城镇建设综合开发公司第六分公司         ,2,36,118.822598 ,32.028112,34.0
南京,鼓楼 ,凤凰西街 ,辰龙绿苑西苑             ,249,63615,2008,板楼/塔板结合      ,1.5,南京昊海物业管理有限公司              ,南京晟铮房地产开发有限公司              ,3,281,118.73955  ,32.051043,11.0
南京,鼓楼 ,定淮门大街,百合果园               ,471,54179,1999,塔楼/板楼/塔板结合   ,0.6,街道办事处（委员会）代管物业            ,南京新型建材房地产开发公司              ,19,1192,118.74432  ,32.075967,20.0
南京,雨花台,梅山   ,永安花苑               ,19,16309,1995,板楼           ,0.8,街道办事处（委员会）代管物业            ,南京雨花房地产开发有限公司              ,35,1292,118.634879 ,31.90033824,24.0
南京,秦淮 ,新街口  ,淮海路63号             ,3,31609,1982,板楼           ,0.5,业主自筹物业                    ,无开发商                       ,3,63,118.798438 ,32.043211,37.0
南京,建邺 ,应天西路 ,长虹路389号            ,30,26815,1979,板楼           ,0.35,街道办事处（委员会）代管物业            ,江苏省八达房地产开发有限公司             ,11,353,118.7701428,32.0191272,40.0
南京,建邺 ,奥体   ,五矿御江金城             ,520,46332,2012,板楼           ,,南京五矿悦居物业管理有限公司            ,五矿地产南京有限公司                 ,16,1166,118.7196409,32.02381449,7.0
南京,江宁 ,岔路口  ,秦湾景园               ,169,27487,2017,板楼           ,1,南京紫竹物业管理股份有限公司江宁分公司       ,无开发商                       ,16,1584,118.828796 ,31.969858000000002,2.0
南京,溧水 ,溧水城西 ,华洲青林湾              ,0,,2018,板楼           ,1.35,南京秦环物业管理有限公司              ,南京华洲置业有限公司                 ,4,77,119.010775 ,31.645896999999998,1.0
南京,浦口 ,江浦街道 ,珠江路7号              ,5,23935,1998,板楼/塔板结合      ,,无物业管理服务                   ,苍南县中富房地产开发有限公司             ,3,50,118.643458 ,32.069005,21.0
南京,建邺 ,万达广场 ,蓝瑟公寓               ,123,44082,2012,板楼           ,1.95,南京银城物业服务股份有限公司            ,南京长发都市房地产开发有限公司            ,1,200,118.74679  ,32.035563,7.0
南京,江宁 ,百家湖  ,同曦青春水岸             ,403,34456,2014,塔板结合         ,1.88,南京同曦物业管理有限公司              ,南京同曦房地产开发有限公司              ,5,465,118.822995 ,31.959495,5.0
南京,秦淮 ,洪家园  ,曙光里                ,105,30195,2000,塔板结合         ,,北京阳光嘉业物业有限公司              ,南京市秦淮区商业网点房地产开发公司          ,15,646,118.813168 ,32.00745,19.0
南京,浦口 ,江浦街道 ,雨山新村               ,4,21003,2000,板楼           ,0.3,江苏常发物业服务有限公司              ,南京市政建设开发有限公司               ,4,131,118.627039 ,32.062768,19.0
南京,鼓楼 ,龙江   ,白云园北片              ,252,43473,1994,板楼/平房        ,,业主自筹物业                    ,白云房地产有限公司                  ,18,612,118.750513 ,32.060824,25.0
南京,栖霞 ,仙林   ,康桥圣菲               ,279,44024,2006,板楼           ,1.5,江苏星汉物业管理有限公司              ,南京星晟房地产开发有限公司              ,18,963,118.920333 ,32.10062366,13.0
南京,秦淮 ,升州路  ,东止马营               ,7,32688,1990,板楼           ,0.5,业主自筹物业                    ,南京市建邺区城镇建设综合开发总公司          ,3,102,118.779966 ,32.038255,29.0
南京,秦淮 ,升州路  ,七家湾                ,24,35674,1998,板楼/塔板结合      ,,街道办事处（委员会）代管物业            ,南京建邺城镇建设开发集团有限公司           ,6,587,118.781914 ,32.037566999999996,21.0
南京,建邺 ,汉中门大街,汉中新城               ,8,24787,1998,板楼           ,0.5,业主自筹物业                    ,汉中市中辉实业开发有限公司              ,1,229,118.7696228,32.04599597,21.0
南京,江宁 ,麒麟镇  ,东麒佳苑               ,25,19341,2000,板楼           ,0.5,业主自筹物业                    ,合肥万科瑞翔地产有限公司               ,18,1358,118.884599 ,31.976445000000002,19.0
南京,江宁 ,湖熟   ,万科金域东方             ,61,24833,2018,板楼           ,2.6,南京万科物业管理有限公司              ,南京裕宁置业有限公司                 ,16,1285,118.948133 ,31.934146999999996,1.0
南京,玄武 ,卫岗   ,华盛园                ,116,27820,1999,板楼           ,0.25,私人承办物业                    ,南京城市建设开发（集团）总公司            ,10,466,118.8564898,32.02391772,20.0
南京,秦淮 ,新街口  ,游府西街4号             ,1,,,未知类型         ,,暂无信息                      ,暂无信息                       ,2,23,118.799576 ,32.044428,
南京,玄武 ,樱驼花园 ,东方路88-1号           ,0,,,未知类型         ,,暂无信息                      ,暂无信息                       ,1,2,118.844882 ,32.09326795,
南京,栖霞 ,仙林   ,汇杰文庭               ,107,43298,2007,板楼           ,,街道办事处（委员会）代管物业            ,南京交通投资置业有限公司               ,67,418,118.9402392,32.10323749,12.0
南京,江宁 ,东山镇  ,文靖路235号            ,1,,1995,塔板结合         ,0.5,暂无信息                      ,暂无信息                       ,1,17,118.851869 ,31.965891,24.0
南京,建邺 ,南湖   ,利民村                ,17,30837,1986,板楼/塔板结合      ,0.5,街道办事处（委员会）代管物业            ,无开发商                       ,16,350,118.7646004,32.03239806,33.0
南京,江宁 ,江宁大学城,弘景雅墅               ,25,33865,2006,板楼/塔板结合      ,2,业主自筹物业                    ,无开发商                       ,25,72,118.895641 ,31.9152133,13.0
南京,浦口 ,桥北   ,离退休干部休养所           ,0,,2005,平房           ,0.5,暂无信息                      ,开发区建设集团建设开发分公司开发           ,1,10,118.731878 ,32.114846,14.0
南京,玄武 ,长江路  ,邓府巷                ,5,41734,1998,塔板结合         ,0.5,业主自筹物业                    ,广厦(南京)置业发展有限公司             ,1,30,118.7960406,32.04946261,21.0
南京,玄武 ,丹凤街  ,同仁新寓               ,77,33702,1996,塔楼           ,0.8,业主自筹物业                    ,南京市长发都市房产开发有限公司            ,2,640,118.793248 ,32.057942,23.0
南京,六合 ,大厂   ,杨庄北村               ,12,14358,1973,板楼           ,,无物业管理服务                   ,南京开发商                      ,29,1026,118.7449109,32.21783227,46.0
南京,秦淮 ,朝天宫  ,翔宇大厦               ,0,51190,,未知类型         ,,暂无信息                      ,暂无信息                       ,1,3,118.77431  ,32.04381,
南京,江宁 ,将军大道 ,山水华门浅水湾苑           ,31,50066,2001,板楼           ,2.3,江苏华门集团物业管理有限公司            ,合肥万科瑞翔地产有限公司               ,8,19,118.7934032,31.92582456,18.0
南京,鼓楼 ,凤凰西街 ,名城世纪园              ,361,43401,2001,板楼           ,0.6,街道办事处（委员会）代管物业            ,南京名城房地产开发有限公司              ,9,989,118.7536219,32.04768043,18.0
南京,秦淮 ,建康路  ,白下路185号            ,10,31718,1992,板楼           ,0.5,街道办事处（委员会）代管物业            ,南京市白下城市建设(集团)有限公司          ,3,66,118.799175 ,32.034923,27.0
南京,溧水 ,溧水城中 ,西坛新村               ,0,12853,,未知类型         ,,暂无信息                      ,暂无信息                       ,1,4,119.026915 ,31.657272,
南京,玄武 ,锁金村  ,警官学院家属院            ,1,27777,2000,塔板结合         ,0.5,街道办事处（委员会）代管物业            ,无开发商                       ,3,53,118.830368 ,32.087469,19.0
南京,秦淮 ,五老村  ,钟山颐府               ,120,72112,2018,塔楼           ,5.8,上海金地物业服务有限公司南京分公司         ,南京熊猫科技园开发有限公司              ,4,170,118.806761 ,32.044185999999996,1.0
南京,秦淮 ,月牙湖  ,长发公寓               ,99,38083,2000,板楼           ,0.8,私人承办物业                    ,南京长发都市房地产开发有限公司            ,2,215,118.838858 ,32.04519844,19.0
