iter	Passed	Remaining
581	20622	67962
582	20794	68375
583	21117	69282
584	21386	70010
585	21862	71409
586	21989	71661
587	22034	71651
588	22134	71814
589	22209	71899
590	22259	71899
591	22302	71880
592	22339	71841
593	22400	71878
594	22428	71809
595	22452	71728
596	22477	71649
597	22500	71566
598	22525	71487
599	22546	71398
600	22572	71324
601	22597	71246
602	22621	71167
603	22651	71103
604	22674	71022
605	22698	70942
606	22724	70869
607	22745	70781
608	22771	70706
609	22794	70626
610	22820	70551
611	22842	70468
612	22865	70387
613	22888	70306
614	22911	70224
615	22935	70146
616	22963	70079
617	22984	69995
618	23009	69919
619	23035	69850
620	23057	69767
621	23079	69683
622	23100	69598
623	23123	69518
624	23150	69452
625	23175	69377
626	23197	69297
627	23222	69224
628	23248	69154
629	23273	69082
630	23297	69007
631	23322	68934
632	23348	68866
633	23375	68799
634	23400	68726
635	23425	68655
636	23448	68578
637	23472	68503
638	23496	68431
639	23527	68375
640	23552	68304
641	23574	68226
642	23598	68152
643	23622	68079
644	23646	68007
645	23670	67932
646	23692	67854
647	23714	67776
648	23737	67700
649	23761	67628
650	23784	67553
651	23806	67476
652	23831	67407
653	23855	67335
654	23879	67264
655	23905	67196
656	23929	67126
657	23959	67071
658	23986	67010
659	24012	66943
660	24035	66869
661	24060	66802
662	24085	66734
663	24108	66661
664	24135	66599
665	24163	66541
666	24188	66473
667	24211	66400
668	24233	66324
669	24258	66257
670	24285	66197
671	24308	66125
672	24335	66062
673	24363	66004
674	24391	65946
675	24415	65879
676	24439	65810
677	24467	65751
678	24492	65685
679	24515	65615
680	24539	65546
681	24563	65479
682	24589	65415
683	24613	65349
684	24640	65288
685	24662	65215
686	24685	65144
687	24712	65085
688	24737	65020
689	24759	64949
690	24787	64893
691	24811	64826
692	24838	64765
693	24866	64710
694	24891	64645
695	24915	64580
696	24939	64514
697	24964	64449
698	24989	64386
699	25019	64335
700	25044	64272
701	25067	64205
702	25092	64141
703	25118	64080
704	25142	64014
705	25166	63949
706	25189	63881
707	25215	63822
708	25239	63756
709	25261	63686
710	25285	63622
711	25311	63563
712	25337	63504
713	25366	63450
714	25401	63415
715	25434	63373
716	25461	63317
717	25490	63265
718	25522	63221
719	25550	63166
720	25581	63119
721	25613	63076
722	25647	63035
723	25676	62986
724	25707	62938
725	25736	62887
726	25762	62828
727	25791	62777
728	25821	62730
729	25854	62688
730	25885	62642
731	25918	62600
732	25945	62544
733	25976	62499
734	26007	62453
735	26040	62411
736	26071	62366
737	26103	62323
738	26133	62273
739	26161	62221
740	26187	62163
741	26212	62104
742	26240	62051
743	26266	61993
744	26290	61933
745	26313	61869
746	26336	61803
747	26365	61753
748	26389	61694
749	26418	61644
750	26445	61589
751	26472	61535
752	26498	61477
753	26523	61420
754	26549	61363
755	26576	61309
756	26601	61249
757	26626	61191
758	26649	61129
759	26673	61069
760	26702	61018
761	26730	60967
762	26754	60907
763	26778	60846
764	26800	60781
765	26823	60721
766	26846	60659
767	26872	60603
768	26899	60550
769	26925	60495
770	26952	60441
771	26981	60394
772	27008	60340
773	27033	60283
774	27061	60233
775	27084	60172
776	27110	60117
777	27132	60054
778	27158	59999
779	27183	59943
780	27208	59885
781	27231	59826
782	27254	59765
783	27276	59702
784	27301	59645
785	27326	59589
786	27352	59535
787	27377	59479
788	27403	59425
789	27432	59378
790	27454	59317
791	27479	59262
792	27503	59204
793	27530	59151
794	27556	59099
795	27578	59038
796	27602	58980
797	27624	58918
798	27647	58859
799	27673	58807
800	27698	58751
801	27723	58695
802	27750	58645
803	27775	58591
804	27803	58543
805	27832	58495
806	27858	58444
807	27882	58386
808	27907	58332
809	27931	58276
810	27955	58219
811	27977	58161
812	28001	58103
813	28026	58050
814	28054	58001
815	28080	57949
816	28103	57892
817	28125	57832
818	28152	57783
819	28177	57730
820	28203	57678
821	28225	57618
822	28274	57613
823	28303	57568
824	28352	57563
825	28395	57547
826	28434	57521
827	28467	57484
828	28500	57447
829	28532	57408
830	28563	57366
831	28595	57328
832	28622	57279
833	28650	57231
834	28678	57184
835	28712	57149
836	28741	57105
837	28765	57049
838	28790	56998
839	28813	56941
840	28838	56887
841	28860	56830
842	28899	56803
843	28938	56778
844	28962	56725
845	28988	56674
846	29012	56621
847	29038	56571
848	29063	56517
849	29087	56463
850	29119	56424
851	29151	56386
852	29182	56345
853	29215	56309
854	29246	56269
855	29278	56230
856	29304	56181
857	29340	56149
858	29376	56118
859	29405	56074
860	29433	56028
861	29462	55986
862	29490	55940
863	29515	55888
864	29541	55839
865	29567	55788
866	29593	55738
867	29620	55692
868	29643	55637
869	29668	55585
870	29692	55533
871	29718	55482
872	29745	55435
873	29773	55391
874	29799	55342
875	29822	55287
876	29844	55231
877	29872	55185
878	29897	55134
879	29922	55084
880	29947	55033
881	29970	54979
882	29998	54935
883	30024	54886
884	30050	54837
885	30074	54785
886	30100	54737
887	30125	54687
888	30152	54640
889	30179	54595
890	30207	54549
891	30233	54501
892	30258	54452
893	30284	54402
894	30309	54353
895	30331	54299
896	30360	54255
897	30389	54213
898	30413	54161
899	30439	54114
900	30466	54067
901	30490	54017
902	30522	53979
903	30550	53936
904	30592	53917
905	30627	53886
906	30665	53858
907	30698	53823
908	30730	53786
909	30759	53744
910	30788	53703
911	30814	53654
912	30840	53608
913	30866	53560
914	30887	53504
915	30912	53456
916	30941	53412
917	30967	53367
918	30993	53318
919	31019	53271
920	31041	53218
921	31065	53168
922	31092	53122
923	31117	53074
924	31142	53027
925	31172	52986
926	31290	53095
927	31552	53448
928	31647	53517
929	33001	55712
930	33050	55698
931	33132	55741
932	33199	55760
933	33251	55751
934	33288	55718
935	33320	55677
936	33350	55631
937	33378	55583
938	33417	55554
939	33453	55519
940	33485	55477
941	33513	55428
942	33539	55377
943	33561	55320
944	33585	55265
945	33612	55215
946	33636	55161
947	33662	55109
948	33688	55059
949	33713	55006
950	33738	54954
951	33769	54911
952	33798	54864
953	33825	54815
954	33852	54766
955	33876	54713
956	33904	54665
957	33928	54611
958	33953	54559
959	33977	54505
960	34002	54453
961	34030	54405
962	34054	54352
963	34078	54298
964	34099	54241
965	34124	54189
966	34150	54138
967	34175	54087
968	34202	54038
969	34225	53983
970	34251	53934
971	34275	53881
972	34300	53830
973	34324	53777
974	34587	54098
975	35081	54778
976	35430	55231
977	35557	55335
978	35736	55520
979	35941	55746
980	36165	55999
981	36284	56089
982	36408	56186
983	36500	56235
984	36558	56230
985	36639	56260
986	36667	56207
987	36694	56155
988	36723	56106
989	36750	56053
990	36773	55994
991	36798	55939
992	36824	55885
993	36851	55833
994	36873	55773
995	36898	55718
996	36920	55658
997	36948	55607
998	36974	55553
999	37000	55501
1000	37028	55450
1001	37052	55394
1002	37075	55336
1003	37105	55287
1004	37129	55232
1005	37152	55174
1006	37175	55117
1007	37202	55066
1008	37228	55012
1009	37251	54954
1010	37278	54904
1011	37304	54850
1012	37331	54799
1013	37358	54748
1014	37382	54693
1015	37406	54637
1016	37429	54580
1017	37456	54528
1018	37483	54478
1019	37512	54429
1020	37541	54381
1021	37566	54328
1022	37597	54282
1023	37625	54233
1024	37664	54200
1025	37695	54154
1026	37725	54108
1027	37755	54062
1028	37784	54014
1029	37815	53970
1030	37846	53924
1031	37874	53876
1032	37900	53824
1033	37925	53770
1034	37949	53715
1035	37977	53666
1036	38000	53611
1037	38026	53560
1038	38050	53505
1039	38074	53451
1040	38097	53395
1041	38122	53341
1042	38146	53288
1043	38171	53235
1044	38196	53182
1045	38219	53127
1046	38245	53075
1047	38269	53021
1048	38295	52971
1049	38325	52925
1050	38353	52876
1051	38376	52822
1052	38401	52769
1053	38424	52715
1054	38452	52667
1055	38480	52619
1056	38507	52569
1057	38532	52518
1058	38553	52461
1059	38578	52408
1060	38601	52353
1061	38624	52299
1062	38646	52244
1063	38670	52190
1064	38695	52138
1065	38721	52089
1066	38746	52037
1067	38775	51990
1068	38801	51940
1069	38823	51886
1070	38849	51834
1071	38873	51783
1072	38899	51733
1073	38923	51681
1074	38949	51630
1075	38972	51576
1076	39001	51531
1077	39028	51483
1078	39048	51425
1079	39075	51376
1080	39104	51331
1081	39127	51277
1082	39151	51225
1083	39176	51175
1084	39202	51126
1085	39223	51070
1086	39246	51016
1087	39270	50965
1088	39294	50912
1089	39321	50865
1090	39347	50815
1091	39369	50761
1092	39391	50708
1093	39416	50657
1094	39440	50606
1095	39467	50558
1096	39490	50506
1097	39515	50456
1098	39539	50404
1099	39564	50354
1100	39589	50305
1101	39615	50256
1102	39637	50203
1103	39660	50150
1104	39686	50101
1105	39712	50053
1106	39734	50000
1107	39757	49948
1108	39782	49898
1109	39805	49846
1110	39832	49799
1111	39856	49749
1112	39880	49698
1113	39905	49648
1114	39930	49599
1115	39957	49553
1116	39983	49505
1117	40011	49459
1118	40034	49407
1119	40060	49360
1120	40087	49313
1121	40112	49264
1122	40139	49217
1123	40164	49169
1124	40188	49119
1125	40215	49072
1126	40243	49027
1127	40269	48980
1128	40296	48933
1129	40322	48886
1130	40346	48837
1131	40371	48788
1132	40394	48736
1133	40418	48687
1134	40443	48639
1135	40469	48591
1136	40494	48543
1137	40523	48499
1138	40547	48450
1139	40573	48403
1140	40600	48357
1141	40625	48309
1142	40650	48261
1143	40673	48211
1144	40701	48165
1145	40728	48120
1146	40751	48070
1147	40775	48021
1148	40802	47975
1149	40825	47926
1150	40847	47874
1151	40870	47824
1152	40900	47781
1153	40931	47741
1154	40954	47691
1155	40981	47645
1156	41005	47597
1157	41029	47548
1158	41054	47501
1159	41078	47452
1160	41102	47404
1161	41126	47355
1162	41149	47306
1163	41173	47257
1164	41200	47213
1165	41224	47164
1166	41249	47117
1167	41273	47068
1168	41298	47021
1169	41323	46974
1170	41350	46929
1171	41380	46888
1172	41406	46842
1173	41435	46800
1174	41459	46752
1175	41483	46704
1176	41511	46660
1177	41537	46615
1178	41562	46568
1179	41590	46524
1180	41613	46475
1181	41636	46427
1182	41669	46389
1183	41696	46344
1184	41721	46298
1185	41747	46253
1186	41774	46208
1187	41801	46164
1188	41824	46116
1189	41847	46067
